SKU_Coded,Stock,Lead_Time,Avg_Sales,CD
6172800,120,60,1.28,1
6172850,120,90,1.27,1
6172900,60,60,1.16,1
6172950,60,45,1.05,1
6173000,60,45,1.03,1
6173050,120,60,2.16,1
6173100,60,60,1.08,1
6173150,60,45,1.0,1
6173200,60,30,1.0,1
6173250,60,60,1.0,1
6173300,60,45,1.0,1
6173350,120,30,1.39,1
6173400,60,90,1.11,1
6173450,60,90,1.18,1
6173500,60,45,1.18,1
6173550,60,60,1.09,1
6173600,60,60,1.07,1
6173650,60,90,1.05,1
6173700,120,45,1.45,1
6173750,120,60,1.54,1
6173800,180,45,1.4,1
6173850,60,60,1.81,1
6173900,120,45,1.83,1
6173950,120,60,1.66,1
6174000,60,30,1.42,1
6174050,60,60,1.52,1
6174100,180,30,1.86,1
6174150,120,30,1.84,1
6174200,120,90,1.62,1
6174250,120,30,1.52,1
6174300,60,30,1.49,1
6174350,60,45,1.41,1
6174400,60,60,1.33,1
6174450,60,90,1.44,1
6174500,120,30,1.46,1
6174550,120,90,1.49,1
6174600,120,90,1.48,1
6174650,120,90,1.67,1
6174700,60,90,2.1,1
6174750,180,30,1.69,1
6174800,120,60,1.33,1
6174850,120,60,1.38,1
6174900,60,90,1.43,1
6174950,180,45,1.75,1
6175000,120,90,1.57,1
6175050,120,60,1.51,1
6175100,180,60,1.44,1
6175150,240,60,1.44,1
6175200,60,90,1.31,1
6175250,180,90,1.42,1
6175300,180,60,1.5,1
6175350,120,60,1.86,1
6175400,120,60,1.43,1
6175450,120,30,1.2,1
6175500,120,60,1.24,1
6175550,120,90,1.19,1
6175600,120,30,1.43,1
6175650,180,90,1.35,1
6175700,180,60,1.32,1
6175750,120,60,1.44,1
6175800,120,90,1.32,1
6175850,120,60,1.41,1
6175900,60,60,1.39,1
6175950,60,90,1.33,1
6176000,120,45,1.5,1
6176050,60,90,1.44,1
6176100,60,60,1.29,1
6176150,60,60,1.0,1
6176200,60,45,1.26,1
6176250,120,90,1.27,1
6176300,120,30,1.69,1
6176350,60,90,1.34,1
6176400,180,30,1.85,1
6176450,60,60,1.25,1
6176500,60,90,1.22,1
6176550,60,30,1.25,1
6176600,120,60,1.53,1
6176650,60,30,1.52,1
6176700,60,30,1.19,1
6176750,60,45,1.2,1
6176800,60,90,1.21,1
6176850,60,45,1.18,1
6176900,60,60,1.22,1
6176950,60,60,1.16,1
6177000,60,90,1.07,1
6177050,60,60,1.11,1
6177100,60,45,1.16,1
6177150,60,60,1.14,1
6177200,60,60,1.46,1
6177250,120,30,1.48,1
6177300,60,45,1.39,1
6177350,60,45,1.58,1
6177400,60,30,1.26,1
6177450,60,30,1.46,1
6177500,60,30,1.46,1
6177550,60,90,1.17,1
6177600,120,90,1.21,1
6177650,120,30,1.33,1
6177700,60,90,1.41,1
6177750,60,30,1.74,1
6177800,120,60,1.45,1
6177850,60,45,1.32,1
6177900,120,90,1.3,1
6177950,120,45,1.37,1
6178000,120,30,1.51,1
6178050,60,60,1.06,1
6178100,120,45,1.48,1
6178150,120,30,1.39,1
6178200,60,90,1.15,1
6178250,120,45,1.17,1
6178300,120,45,1.6,1
6178350,60,30,1.25,1
6178400,120,60,1.28,1
6178450,60,30,1.21,1
6178500,120,60,1.52,1
6178550,120,90,1.27,1
6178600,120,30,1.25,1
6178650,120,30,1.27,1
6178700,60,30,1.2,1
6178750,60,30,1.25,1
6178800,120,30,1.21,1
6178850,120,30,1.4,1
6178900,120,45,1.39,1
6178950,60,60,1.39,1
6179000,120,60,1.4,1
6179050,60,45,1.29,1
6179100,180,60,1.3,1
6179150,120,45,1.44,1
6179200,60,60,1.58,1
6179250,120,30,1.41,1
6179300,120,45,1.45,1
6179350,60,45,1.27,1
6179400,60,30,1.23,1
6179450,60,60,1.35,1
6179500,120,90,1.33,1
6179550,60,60,1.0,1
6179600,120,60,1.12,1
6179650,60,90,1.08,1
6179700,120,45,1.22,1
6179750,60,45,1.38,1
6179800,60,30,1.19,1
6179850,60,60,1.0,1
6179900,120,60,1.13,1
6179950,120,45,1.26,1
6180000,60,45,1.0,1
6180050,60,60,1.0,1
6180100,60,60,1.03,1
6180150,60,90,1.3,1
6180200,60,30,1.15,1
6180250,60,90,1.17,1
6180300,60,60,1.12,1
6180350,60,90,1.06,1
6180400,60,30,1.1,1
6180450,120,45,2.0,1
6180500,60,45,1.0,1
6180550,60,90,1.13,1
6180600,60,60,1.12,1
6180650,120,90,1.36,1
6180700,60,90,1.25,1
6180750,60,45,1.09,1
6180800,60,60,1.23,1
6180850,120,30,1.17,1
6180900,120,60,1.23,1
6180950,60,30,1.19,1
6181050,60,30,1.0,1
6181100,60,30,1.0,1
6181150,120,90,1.79,1
6181200,240,60,1.77,1
6181250,120,90,1.7,1
6181300,120,45,1.88,1
6181350,60,45,1.18,1
6181400,60,30,1.26,1
6181450,120,90,1.4,1
6181500,60,60,1.72,1
6181550,120,90,1.33,1
6181600,120,60,1.2,1
6181650,60,60,1.26,1
6181700,120,90,1.31,1
