SKU_Coded,Stock,Lead_Time,Avg_Sales
6172800,4,60,1.28
6172850,4,90,1.27
6172900,2,60,1.16
6172950,2,45,1.05
6173000,2,45,1.03
6173050,4,60,2.16
6173100,2,60,1.08
6173150,2,45,1.0
6173200,2,30,1.0
6173250,2,60,1.0
6173300,2,45,1.0
6173350,4,30,1.39
6173400,2,90,1.11
6173450,2,90,1.18
6173500,2,45,1.18
6173550,2,60,1.09
6173600,2,60,1.07
6173650,2,90,1.05
6173700,4,45,1.45
6173750,4,60,1.54
6173800,6,45,1.4
6173850,2,60,1.81
6173900,4,45,1.83
6173950,4,60,1.66
6174000,2,30,1.42
6174050,2,60,1.52
6174100,6,30,1.86
6174150,4,30,1.84
6174200,4,90,1.62
6174250,4,30,1.52
6174300,2,30,1.49
6174350,2,45,1.41
6174400,2,60,1.33
6174450,2,90,1.44
6174500,4,30,1.46
6174550,4,90,1.49
6174600,4,90,1.48
6174650,4,90,1.67
6174700,2,90,2.1
6174750,6,30,1.69
6174800,4,60,1.33
6174850,4,60,1.38
6174900,2,90,1.43
6174950,6,45,1.75
6175000,4,90,1.57
6175050,4,60,1.51
6175100,6,60,1.44
6175150,8,60,1.44
6175200,2,90,1.31
6175250,6,90,1.42
6175300,6,60,1.5
6175350,4,60,1.86
6175400,4,60,1.43
6175450,4,30,1.2
6175500,4,60,1.24
6175550,4,90,1.19
6175600,4,30,1.43
6175650,6,90,1.35
6175700,6,60,1.32
6175750,4,60,1.44
6175800,4,90,1.32
6175850,4,60,1.41
6175900,2,60,1.39
6175950,2,90,1.33
6176000,4,45,1.5
6176050,2,90,1.44
6176100,2,60,1.29
6176150,2,60,1.0
6176200,2,45,1.26
6176250,4,90,1.27
6176300,4,30,1.69
6176350,2,90,1.34
6176400,6,30,1.85
6176450,2,60,1.25
6176500,2,90,1.22
6176550,2,30,1.25
6176600,4,60,1.53
6176650,2,30,1.52
6176700,2,30,1.19
6176750,2,45,1.2
6176800,2,90,1.21
6176850,2,45,1.18
6176900,2,60,1.22
6176950,2,60,1.16
6177000,2,90,1.07
6177050,2,60,1.11
6177100,2,45,1.16
6177150,2,60,1.14
6177200,2,60,1.46
