sku,existencia,pack,lead_time_dias
SKU_001,1293,20,90
SKU_002,276,5,90
SKU_003,518,24,30
SKU_004,390,12,45
SKU_005,961,24,45
SKU_006,701,24,90
SKU_007,869,5,45
SKU_008,1486,10,45
SKU_009,1130,20,45
SKU_010,779,5,90
SKU_011,592,10,45
SKU_012,690,5,45
SKU_013,953,12,60
SKU_014,120,50,60
SKU_015,183,10,60
SKU_016,33,24,60
SKU_017,271,50,60
SKU_018,42,10,60
SKU_019,855,5,60
SKU_020,247,50,60
SKU_021,312,12,60
SKU_022,247,20,60
SKU_023,151,5,60
SKU_024,472,24,60
SKU_025,212,24,60
SKU_026,271,24,60
SKU_027,265,20,60
SKU_028,330,50,60
SKU_029,238,12,60
SKU_030,655,50,60
SKU_031,2346,10,60
SKU_032,685,5,60
SKU_033,947,24,60
SKU_034,901,12,60
SKU_035,456,10,60
SKU_036,1213,10,60
SKU_037,78,10,60
SKU_038,672,12,60
SKU_039,570,24,60
SKU_040,490,24,60
SKU_041,354,5,60
SKU_042,575,5,60
SKU_043,1559,24,60
SKU_044,1154,50,60
SKU_045,899,5,60
SKU_046,504,12,60
SKU_047,334,24,60
SKU_048,256,24,60
SKU_049,159,20,60
SKU_050,734,50,60
SKU_051,301,5,60
SKU_052,306,10,60
SKU_053,351,50,60
SKU_054,386,12,60
SKU_055,82,5,60
SKU_056,177,50,60
SKU_057,109,12,60
SKU_058,284,50,60
SKU_059,700,50,60
SKU_060,258,5,60
